PROBEID	SYMBOL	ENSEMBL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B	Control.1	Control.2	Control.3	Control.4	Control.5	IPF.1	IPF.2	IPF.3	IPF.4	IPF.5	IPF.6
1552378_s_at	RDH10	ENSG00000121039	retinol dehydrogenase 10	-1.04566021305639	6.24144929972379	-4.47875519970242	0.000890342528609972	0.0380932977485473	-0.418103689170884	7.66005190863233	6.79986510603333	6.42056032937245	7.03541927077202	6.14315046487172	6.07894995011304	5.63770285347232	5.94713009588814	5.63591829764985	5.5310863972685	5.76610762288804
1552610_a_at	JAK1	ENSG00000162434	Janus kinase 1	-1.15160373395803	8.61045642517716	-5.54849596218252	0.000161483723703834	0.019448523611921	1.22886118287374	9.37895698828861	8.97933539725221	9.53506967803962	9.20434322298004	9.09531429557449	7.48375887873921	7.62654848201097	8.18801123548863	8.09852218545078	8.51528996060482	8.60987035251936
1552621_at	POLR2J2	ENSG00000267645	RNA polymerase II subunit J2	1.03428263309624	10.0644882099039	7.12681286797269	1.7369905426052e-05	0.00849477904240764	3.33067410084661	9.57551111632136	9.86247341970887	9.45988125821712	9.53813283654297	9.0656716011942	10.799022989225	10.7344798460722	10.4758571352982	10.4170200988757	10.5763225253865	10.2049974821011
1552621_at	POLR2J2	ENSG00000228049	RNA polymerase II subunit J2	1.03428263309624	10.0644882099039	7.12681286797269	1.7369905426052e-05	0.00849477904240764	3.33067410084661	9.57551111632136	9.86247341970887	9.45988125821712	9.53813283654297	9.0656716011942	10.799022989225	10.7344798460722	10.4758571352982	10.4170200988757	10.5763225253865	10.2049974821011
1552621_at	POLR2J3	ENSG00000168255	RNA polymerase II subunit J3	1.03428263309624	10.0644882099039	7.12681286797269	1.7369905426052e-05	0.00849477904240764	3.33067410084661	9.57551111632136	9.86247341970887	9.45988125821712	9.53813283654297	9.0656716011942	10.799022989225	10.7344798460722	10.4758571352982	10.4170200988757	10.5763225253865	10.2049974821011
1552621_at	POLR2J3	ENSG00000285437	RNA polymerase II subunit J3	1.03428263309624	10.0644882099039	7.12681286797269	1.7369905426052e-05	0.00849477904240764	3.33067410084661	9.57551111632136	9.86247341970887	9.45988125821712	9.53813283654297	9.0656716011942	10.799022989225	10.7344798460722	10.4758571352982	10.4170200988757	10.5763225253865	10.2049974821011
1552622_s_at	POLR2J2	ENSG00000267645	RNA polymerase II subunit J2	1.1223452979955	8.77185431556481	7.27438276909197	1.43361542804104e-05	0.00816929275299838	3.5077585818265	8.20402659872348	8.63411093253193	7.98603524083161	8.29593501941233	7.67822206451877	9.47603260679111	9.28052538356056	9.37386909824379	9.19245198643268	9.37107420795902	8.99811433220759
1552622_s_at	POLR2J2	ENSG00000228049	RNA polymerase II subunit J2	1.1223452979955	8.77185431556481	7.27438276909197	1.43361542804104e-05	0.00816929275299838	3.5077585818265	8.20402659872348	8.63411093253193	7.98603524083161	8.29593501941233	7.67822206451877	9.47603260679111	9.28052538356056	9.37386909824379	9.19245198643268	9.37107420795902	8.99811433220759
1552622_s_at	POLR2J3	ENSG00000168255	RNA polymerase II subunit J3	1.1223452979955	8.77185431556481	7.27438276909197	1.43361542804104e-05	0.00816929275299838	3.5077585818265	8.20402659872348	8.63411093253193	7.98603524083161	8.29593501941233	7.67822206451877	9.47603260679111	9.28052538356056	9.37386909824379	9.19245198643268	9.37107420795902	8.99811433220759
1552622_s_at	POLR2J3	ENSG00000285437	RNA polymerase II subunit J3	1.1223452979955	8.77185431556481	7.27438276909197	1.43361542804104e-05	0.00816929275299838	3.5077585818265	8.20402659872348	8.63411093253193	7.98603524083161	8.29593501941233	7.67822206451877	9.47603260679111	9.28052538356056	9.37386909824379	9.19245198643268	9.37107420795902	8.99811433220759
1552719_at	GOLM2	ENSG00000166734	golgi membrane protein 2	0.811602852547496	8.52900693882689	4.88225896498758	0.000458911163615895	0.0292147357619868	0.223575121915105	8.14870582159725	8.29582700489741	8.43792447058017	7.64060613466805	7.90850893726206	8.78449184988044	8.88080563622557	8.84515823568707	9.39191634022866	8.57318354320427	8.91194835286489
1553133_at	C9orf72	ENSG00000147894	C9orf72-SMCR8 complex subunit	-1.45097427576426	9.09686240042071	-4.51631703498097	0.000836293145322002	0.0375376799851252	-0.357389163159858	9.61062648927109	9.43016716023477	9.6754496996702	11.0993009269121	9.62597029628153	9.32480663248962	8.42397200123438	8.31286013337368	7.80444880801412	8.36506431554534	8.39281994160095
1553145_at	TAPT1-AS1	ENSG00000263327	TAPT1 antisense RNA 1 (head to head)	1.19906762252805	6.88364630655509	7.62375027909972	9.19571054078589e-06	0.00698027477771479	3.91454769088849	5.80125105616687	6.36961471060215	6.43388474505265	6.1356876539218	6.40760894195548	7.53979393525441	7.38441711099931	7.28867759208021	7.93677673236439	7.26922328378827	7.15317360992046
1553169_at	LRRN4	ENSG00000125872	leucine rich repeat neuronal 4	-1.71556135442236	8.14998317194283	-4.43649973369501	0.000955545382522576	0.0388026010420396	-0.486635435797365	9.76795465249846	9.68376604052285	7.90648845999868	8.89337193655523	9.17713846401812	8.23020022324316	7.09158369524838	7.72950647422011	7.23681507803782	7.6541896737017	6.27880019332665
1553171_x_at	LRRN4	ENSG00000125872	leucine rich repeat neuronal 4	-1.82079663681391	7.99971599951186	-4.25914034329887	0.00128879329766293	0.044408094789721	-0.77686210687813	9.71748797533607	9.70723740501236	7.67424773065384	8.76823911258711	9.09717678346242	8.14941759999827	6.97338039500751	7.33499313215131	7.09608890927113	7.5374325823695	5.94117436878096
1553297_a_at	CSF3R	ENSG00000119535	colony stimulating factor 3 receptor	-1.39511417646525	9.35969246511298	-5.53591339643251	0.000164604831967769	0.0197015011233781	1.2105252872661	10.8930337149962	10.490508692814	9.92142874453418	9.35988243139971	9.93846558672613	8.3628616368512	9.03763089761897	9.1514890943586	8.66800080934314	8.47942218356616	8.65389332403458
1553407_at	MACF1	ENSG00000127603	microtubule actin crosslinking factor 1	1.1770776451234	7.82504804273438	5.49175123412147	0.000176075648500822	0.0197082873803558	1.14597001505967	6.49853324165103	7.96886874326814	7.20623820469469	7.13088805739775	7.11050020723288	8.17871910497036	8.17242260754137	8.41449131582314	8.71226029403311	8.20582869997799	8.47677799348778
